step,total_modules,in_flight,placed,components,articulation_points,supported,overhanging,com_x,com_y,com_in_support
0,20,0,20,1,0,20,0,0.75,0.2,1
8,20,1,19,1,0,19,0,0.760526,0.192105,1
16,20,1,19,1,0,19,0,0.760526,0.192105,1
24,20,1,19,1,0,19,0,0.760526,0.192105,1
32,20,1,19,1,0,19,0,0.760526,0.192105,1
40,20,1,19,1,0,19,0,0.760526,0.192105,1
48,20,0,20,1,1,20,0,0.7525,0.2025,1
56,20,1,19,1,0,19,0,0.760526,0.192105,1
64,20,1,19,1,0,19,0,0.760526,0.192105,1
72,20,1,19,1,0,19,0,0.760526,0.192105,1
80,20,1,19,1,0,19,0,0.760526,0.192105,1
88,20,0,20,1,0,20,0,0.7575,0.2025,1
96,20,0,20,1,0,20,0,0.7575,0.2025,1
104,20,1,19,1,0,19,0,0.768421,0.2,1
112,20,1,19,1,0,19,0,0.768421,0.2,1
120,20,1,19,1,0,19,0,0.768421,0.2,1
128,20,1,19,1,0,19,0,0.768421,0.2,1
136,20,0,20,1,0,20,0,0.76,0.205,1
144,20,1,19,1,0,19,0,0.763158,0.194737,1
152,20,1,19,1,0,19,0,0.763158,0.194737,1
160,20,1,19,1,0,19,0,0.763158,0.194737,1
168,20,1,19,1,0,19,0,0.763158,0.194737,1
176,20,1,19,1,0,19,0,0.763158,0.194737,1
184,20,1,19,1,0,19,0,0.773684,0.2,1
192,20,1,19,1,0,19,0,0.773684,0.2,1
200,20,1,19,1,0,19,0,0.773684,0.2,1
208,20,1,19,1,0,19,0,0.773684,0.2,1
216,20,0,20,1,0,20,0,0.77,0.205,1
224,20,0,20,1,0,20,0,0.77,0.205,1
232,20,2,18,1,1,18,0,0.780556,0.197222,1
240,20,2,18,1,1,18,0,0.780556,0.197222,1
248,20,2,18,1,1,18,0,0.780556,0.197222,1
