t_us,blockId,initX,initY,initZ,fromX,fromY,fromZ,toX,toY,toZ,pivotX,pivotY,pivotZ,linkTo,linkFace
11064,16,5,3,2,5,3,2,5,3,3,6,3,2,2,1
431224,16,5,3,2,5,3,3,6,3,3,6,3,2,3,1
886800,11,5,2,2,5,2,2,5,2,3,6,2,2,2,0
1332120,16,5,3,2,6,3,3,7,3,3,7,3,2,8,0
1747472,11,5,2,2,5,2,3,6,2,3,6,2,2,3,1
2173112,6,5,1,2,5,1,2,5,1,3,6,1,2,2,0
2192952,16,5,3,2,7,3,3,8,3,3,8,3,2,0,0
2608112,11,5,2,2,6,2,3,7,2,3,7,2,2,8,1
3043848,6,5,1,2,5,1,3,6,1,3,6,1,2,3,1
3053784,16,5,3,2,8,3,3,9,3,3,9,3,2,3,0
3464552,1,5,0,2,5,0,2,5,0,3,6,0,2,2,0
3468752,11,5,2,2,7,2,3,8,2,3,8,2,2,0,1
3914552,6,5,1,2,6,1,3,7,1,3,7,1,2,8,1
3914648,16,5,3,2,9,3,3,10,3,2,9,3,2,6,1
4329392,11,5,2,2,8,2,3,9,2,3,9,2,2,3,1
4335320,1,5,0,2,5,0,3,6,0,3,6,0,2,3,1
4744616,17,6,3,2,6,3,2,6,3,3,7,3,2,2,0
4785256,6,5,1,2,7,1,3,8,1,3,8,1,2,0,1
5206088,1,5,0,2,6,0,3,7,0,3,7,0,2,8,1
5245128,11,5,2,2,9,2,3,10,2,2,9,2,2,6,0
5655960,6,5,1,2,8,1,3,9,1,3,9,1,2,3,1
5660448,17,6,3,2,6,3,3,7,3,3,7,3,2,3,0
6076856,1,5,0,2,7,0,3,8,0,3,8,0,2,0,1
6110352,12,6,2,2,6,2,2,6,2,3,7,2,2,2,0
6526696,6,5,1,2,9,1,3,10,1,2,9,1,2,6,0
6531216,17,6,3,2,7,3,3,8,3,3,8,3,2,8,1
6947624,1,5,0,2,8,0,3,9,0,3,9,0,2,3,1
6971184,12,6,2,2,6,2,3,7,2,3,7,2,2,3,1
7367784,1,5,0,2,9,0,3,10,0,2,9,0,2,6,0
7391728,7,6,1,2,6,1,2,6,1,3,7,1,2,2,0
7401984,17,6,3,2,8,3,3,9,3,3,9,3,2,0,1
7832016,12,6,2,2,7,2,3,8,2,3,8,2,2,8,1
7842944,2,6,0,2,6,0,2,6,0,3,7,0,2,2,0
8272752,17,6,3,2,9,3,3,10,3,3,10,3,2,3,0
8307432,7,6,1,2,6,1,3,7,1,3,7,2,2,3,1
8732912,12,6,2,2,8,2,3,9,2,3,9,2,2,0,1
8763712,2,6,0,2,6,0,3,7,0,3,7,0,2,3,1
9143552,17,6,3,2,10,3,3,11,3,2,10,3,2,6,0
9223168,7,6,1,2,7,1,3,8,1,3,8,2,2,7,1
9633808,12,6,2,2,9,2,3,10,2,3,10,2,2,3,1
9634416,2,6,0,2,7,0,3,8,0,3,8,0,2,8,1
10068648,18,7,3,2,7,3,2,7,3,3,8,3,2,2,0
10083840,7,6,1,2,8,1,3,9,1,3,9,2,2,10,1
10494672,12,6,2,2,10,2,3,11,2,2,10,2,2,6,0
10505120,2,6,0,2,8,0,3,9,0,3,9,0,2,0,1
10939352,18,7,3,2,7,3,3,8,3,3,8,3,2,3,0
10944512,7,6,1,2,9,1,3,10,1,3,10,2,2,3,1
11369704,13,7,2,2,7,2,2,7,2,3,8,2,2,2,0
11375824,2,6,0,2,9,0,3,10,0,3,10,0,2,3,1
11805184,7,6,1,2,10,1,3,11,1,3,11,2,2,7,1
11810056,18,7,3,2,8,3,3,9,3,3,9,3,2,8,1
12240472,13,7,2,2,7,2,3,8,2,3,8,2,2,3,1
12246560,2,6,0,2,10,0,3,11,0,2,10,0,2,6,0
12665824,7,6,1,2,11,1,3,11,1,2,11,2,2,5,1
12671080,3,7,0,2,7,0,2,7,0,3,8,0,2,2,0
12680760,18,7,3,2,9,3,3,10,3,3,10,3,2,0,0
13111240,13,7,2,2,8,2,3,9,2,3,9,2,2,8,1
13530472,8,7,1,2,7,1,2,7,1,3,7,0,3,2,1
13551464,18,7,3,2,10,3,3,11,3,3,11,3,2,3,1
13972232,3,7,0,2,7,0,3,8,0,3,8,0,2,3,1
13982008,13,7,2,2,9,2,3,10,2,3,10,2,2,0,1
14422200,18,7,3,2,11,3,3,12,3,2,11,3,2,6,0
14431400,8,7,1,2,7,1,3,8,1,3,8,2,2,10,1
14852776,13,7,2,2,10,2,3,11,2,3,11,2,2,3,1
14887936,3,7,0,2,8,0,3,9,0,3,9,0,2,8,1
15287232,19,8,3,2,8,3,2,8,3,3,9,3,2,2,1
15332296,8,7,1,2,8,1,3,9,1,3,9,2,2,3,1
15748576,3,7,0,2,9,0,3,10,0,3,10,0,2,0,1
15768640,13,7,2,2,11,2,3,12,2,2,11,2,2,6,0
16193128,8,7,1,2,9,1,3,10,1,3,10,2,2,7,1
16202936,19,8,3,2,8,3,3,9,3,3,9,3,2,3,0
16609216,3,7,0,2,10,0,3,11,0,3,11,0,2,3,1
16643608,14,8,2,2,8,2,2,8,2,3,9,2,2,2,0
